x = -0.6051884226024552	y = -0.16233304530302284	t = 4.786482334136963
x = -0.6044645766184485	y = -0.16466682944455283	t = 4.801710605621338
x = -0.6036933080532505	y = -0.16724160157582954	t = 4.815331935882568
x = -0.6028519241639436	y = -0.17005044390085855	t = 4.830565452575684
x = -0.6020889925441177	y = -0.1726276986556571	t = 4.845027446746826
x = -0.6012567035043077	y = -0.1754392492972555	t = 4.859540700912476
x = -0.6006256655873276	y = -0.17754588104102734	t = 4.87371826171875
x = -0.5998627339675017	y = -0.1801231357958258	t = 4.8888304233551025
x = -0.5986450423063547	y = -0.1840945305312772	t = 4.913060426712036
x = -0.5977673680976241	y = -0.1868922456774973	t = 4.927025079727173
x = -0.5969379719876092	y = -0.18944888582041017	t = 4.943657636642456
x = -0.5960331762312293	y = -0.192237947794497	t = 4.961037874221802
x = -0.595212058689244	y = -0.19479725877792695	t = 4.975112438201904
x = -0.5943992283157516	y = -0.19735921379540683	t = 4.989976406097412
x = -0.5935946936244153	y = -0.19992378601277522	t = 5.0044636726379395
x = -0.592735146569488	y = -0.2027271234730939	t = 5.019955396652222
x = -0.5920339933283989	y = -0.2050678254106181	t = 5.033108234405518
x = -0.5911323468686047	y = -0.20811367193901636	t = 5.0491132736206055
x = -0.5905149577639759	y = -0.21022434407130497	t = 5.063192367553711
x = -0.58975202614415	y = -0.21280159882610344	t = 5.076791763305664
x = -0.5890736317410303	y = -0.2151489979105446	t = 5.091463327407837
x = -0.5883800575411886	y = -0.21749195677854316	t = 5.105776071548462
x = -0.5877490196242084	y = -0.219598588522315	t = 5.11999249458313
x = -0.587111167179657	y = -0.2217031669635981	t = 5.13464617729187
x = -0.5863873211956503	y = -0.22403695110512808	t = 5.1498095989227295
x = -0.5857290655391023	y = -0.2261352374647932	t = 5.164368152618408
x = -0.585064022506245	y = -0.22823138247909483	t = 5.178480386734009
x = -0.5843921990628024	y = -0.2303253641928104	t = 5.192460060119629
x = -0.5835628029527874	y = -0.23288200433572329	t = 5.2079527378082275
x = -0.5829596057818675	y = -0.23474137898511438	t = 5.22133731842041
x = -0.5820728817380577	y = -0.23753623900418327	t = 5.235868692398071
x = -0.5814146260815097	y = -0.23963452536384838	t = 5.251259088516235
x = -0.5806983368690704	y = -0.24197063991411388	t = 5.265274286270142
x = -0.5799971836279812	y = -0.24431134185163816	t = 5.279598712921143
x = -0.5788996029975301	y = -0.24806364786459548	t = 5.302381992340088
x = -0.5780582191082232	y = -0.25087249018962465	t = 5.320835590362549
x = -0.577497296515352	y = -0.25274505173964396	t = 5.334438323974609
x = -0.5767176990831224	y = -0.2553173142789899	t = 5.350884199142456
x = -0.5762057224613629	y = -0.25694931478095173	t = 5.363832473754883
x = -0.5755406794285056	y = -0.2590454597952533	t = 5.377531290054321
x = -0.5747866829648557	y = -0.26136967810699235	t = 5.393015623092651
x = -0.5740176583303714	y = -0.26368896733849745	t = 5.407935857772827
x = -0.573402438622784	y = -0.26554439872370167	t = 5.422032356262207
x = -0.572648442159134	y = -0.2678686170354406	t = 5.435541868209839
x = -0.5718273246171487	y = -0.2704279280188706	t = 5.453234434127808
x = -0.5710310940347413	y = -0.2729950905745537	t = 5.468024253845215
x = -0.5703223690963507	y = -0.27533351106486825	t = 5.482040166854858
x = -0.5695677824129155	y = -0.27791322144877634	t = 5.498688220977783
x = -0.5689435656330579	y = -0.2800218844299751	t = 5.5127177238464355
x = -0.5681112765932479	y = -0.2828334350715735	t = 5.530517578125
x = -0.5676204693244855	y = -0.28447192642784047	t = 5.543741226196289
x = -0.566982616879934	y = -0.28657650486912356	t = 5.558967113494873
x = -0.566324361223386	y = -0.2886747912287887	t = 5.573691129684448
x = -0.5657271848292149	y = -0.29053610830764687	t = 5.588731288909912
x = -0.5651179731994909	y = -0.29239352105230365	t = 5.603138208389282
x = -0.564425851028455	y = -0.2944808813606582	t = 5.617427349090576
x = -0.5638106313208675	y = -0.2963363127458624	t = 5.631288051605225
x = -0.5631252682374279	y = -0.29842590208360126	t = 5.645642995834351
x = -0.5625280918432568	y = -0.30028721916245943	t = 5.6610565185546875
x = -0.5618766304576508	y = -0.30238762488983645	t = 5.674821376800537
x = -0.5611679055192602	y = -0.304726045380151	t = 5.690360069274902
x = -0.5605505164146314	y = -0.30683671751243957	t = 5.704425096511841
x = -0.5598645285205994	y = -0.30918190877053786	t = 5.7236833572387695
x = -0.5592539735577917	y = -0.3112945679465349	t = 5.73863673210144
x = -0.5587737820319693	y = -0.3129362018272038	t = 5.751998424530029
x = -0.5582882800920801	y = -0.31457627303480284	t = 5.767515420913696
x = -0.5578630451290457	y = -0.3159793253289916	t = 5.78244423866272
x = -0.5572839683418404	y = -0.31784635264221556	t = 5.797020435333252
x = -0.5568406063199355	y = -0.31924378265175	t = 5.811784267425537
x = -0.5563972442980306	y = -0.3206412126612845	t = 5.825209617614746
x = -0.5559448464198407	y = -0.3220357436483279	t = 5.84057092666626
x = -0.5552594833364011	y = -0.32412533298606666	t = 5.856781005859375
x = -0.554650271706677	y = -0.3259827457307235	t = 5.87554144859314
x = -0.5539852286738197	y = -0.3280788907450251	t = 5.8954691886901855
x = -0.5531973105401364	y = -0.3306486167503172	t = 5.917428255081177
x = -0.5527118086002473	y = -0.3322886879579163	t = 5.9347124099731445
x = -0.5522316170744248	y = -0.3339303218385852	t = 5.950371026992798
x = -0.551756740992241	y = -0.33557350119769386	t = 5.963966369628906
x = -0.5514213440889212	y = -0.336748292359645	t = 5.978985548019409
x = -0.5510821468873613	y = -0.3379219919018656	t = 5.993611812591553
x = -0.5506751102454895	y = -0.3393304313525303	t = 6.0069580078125
x = -0.5503321162984736	y = -0.3405030269815794	t = 6.02292537689209
x = -0.5499853291985527	y = -0.3416745064155787	t = 6.038897514343262
x = -0.549774983226226	y = -0.34237671699683603	t = 6.052915573120117
x = -0.5494130602342226	y = -0.34354360906760106	t = 6.0682642459869385
x = -0.54912352184062	y = -0.344477122724213	t = 6.0814595222473145
x = -0.5489041032884373	y = -0.34517655151076804	t = 6.096735239028931
x = -0.54853463493685	y = -0.3463410765187134	t = 6.11493706703186
x = -0.54823303635139	y = -0.3472707638434091	t = 6.129988193511963
